Group,Pollutant,Year,Metric,Header Label,Comments,Link
Main,CO,2002,Max 8-hr mean,co8hr2002_1,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapco8hr2002_1.csv
Main,CO,2003,Max 8-hr mean,co8hr2003_1,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapco8hr2003_1.csv
Main,CO,2004,Max 8-hr mean,com8hr2004_1,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2004_1.csv
Main,CO,2005,Max 8-hr mean,com8hr2005,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2005.csv
Main,CO,2006,Max 8-hr mean,com8hr2006,Units are mg m-3,http://uk-air.defra.gov.uk/data/mapcom8hr2006
Main,CO,2007,Max 8-hr mean,com8hr2007,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2007.csv
Main,CO,2008,Max 8-hr mean,com8hr2008,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2008.csv
Main,CO,2009,Max 8-hr mean,com8hr2009,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2009.csv
Main,CO,2010,Max 8-hr mean,com8hr2010,Units are mg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapcom8hr2010.csv
Main,SO2,2002,Annual mean,so202annd,,http://uk-air.defra.gov.uk/datastore/pcm/mapso202annd.csv
Main,SO2,2003,Annual mean,so203ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso203ann.csv
Main,SO2,2004,Annual mean,so204ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso204ann.csv
Main,SO2,2005,Annual mean,so205ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso205ann.csv
Main,SO2,2006,Annual mean,so206ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso206ann.csv
Main,SO2,2007,Annual mean,so207ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso207ann.csv
Main,SO2,2008,Annual mean,so208ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso208ann.csv
Main,SO2,2009,Annual mean,so209ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso209ann.csv
Main,SO2,2010,Annual mean,so210ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso210ann.csv
Main,SO2,2011,Annual mean,so211ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso211ann.csv
Main,SO2,2012,Annual mean,so212ann,,http://uk-air.defra.gov.uk/datastore/pcm/mapso212ann.csv
Main,Ozone,2003,DGT120,daysgt12003_2,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdaysgt12003_2.csv
Main,Ozone,2004,DGT120,dgt12004,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt12004.csv
Main,Ozone,2005,DGT120,dgt120_2005r,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_2005r.csv
Main,Ozone,2006,DGT120,dgt120_06,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_06.csv
Main,Ozone,2007,DGT120,dgt120_07,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_07.csv
Main,Ozone,2008,DGT120,dgt120_08,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_08.csv
Main,Ozone,2009,DGT120,dgt120_09,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_09.csv
Main,Ozone,2010,DGT120,dgt120_10,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_10.csv
Main,Ozone,2011,DGT120,dgt120_11,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_11.csv
Main,Ozone,2012,DGT120,dgt120_11,metric is number of days on which the daily max 8-hr concentration is greater than 120 µg m-3,http://uk-air.defra.gov.uk/datastore/pcm/mapdgt120_12.csv
Main,Benzene,2003,Annual mean,bz2003,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2003.csv
Main,Benzene,2004,Annual mean,bz2004,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2004.csv
Main,Benzene,2005,Annual mean,bz2005,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2005.csv
Main,Benzene,2006,Annual mean,bz2006,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2006.csv
Main,Benzene,2007,Annual mean,bz2007,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2007.csv
Main,Benzene,2008,Annual mean,bz2008,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2008.csv
Main,Benzene,2009,Annual mean,bz2009,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2009.csv
Main,Benzene,2010,Annual mean,bz2010,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2010.csv
Main,Benzene,2011,Annual mean,bz2011,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2011.csv
Main,Benzene,2012,Annual mean,bz2012,,http://uk-air.defra.gov.uk/datastore/pcm/mapbz2012.csv
